1) -ð- - -θ- - -tθ-/-tθ-/AJ.Aom(เเนน)/eight.m4a.wav,eight
2) -ʒ- - -ʃ-/-ʃ-/P’Pop(เเนน)/Flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/P’Pop(เเนน)/Ratio.m4a.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/ไอริณ (กล้วย)/Bashful.m4a.wav,bashful
2) -ʒ- - -ʃ-/-ʃ-/ไอริณ (กล้วย)/Chicanery.m4a.wav,chicanery
2) -ʒ- - -ʃ-/-ʃ-/ไอริณ (กล้วย)/Distinguish.m4a.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/ไอริณ (กล้วย)/Flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/ไอริณ (กล้วย)/Ratio.m4a.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/ไอริณ (กล้วย)/Shipment.m4a.wav,shipment
2) -ʒ- - -ʃ-/-ʒ-/AJ.Aom(เเนน)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Aom(เเนน)/jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/AJ.Aom(เเนน)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/AJ.Aom(เเนน)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/AJ.Aom(เเนน)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Aom(เเนน)/Unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/AJ.Nine (Ben)/camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Nine (Ben)/jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/AJ.Nine (Ben)/jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/AJ.Nine (Ben)/luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/AJ.Nine (Ben)/sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Nine (Ben)/unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/AJ.Pang (โบว์)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Pang (โบว์)/Jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/AJ.Pang (โบว์)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/AJ.Pang (โบว์)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/AJ.Pang (โบว์)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Pang (โบว์)/Unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/AJ.Perry (kanplu)/camouflage.aac.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Perry (kanplu)/Jupe .aac.wav,jupe 
2) -ʒ- - -ʃ-/-ʒ-/AJ.Perry (kanplu)/jus.aac.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/AJ.Perry (kanplu)/luxury.aac.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/AJ.Perry (kanplu)/sabotage.aac.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Perry (kanplu)/unusual.aac.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/AJ.Ying/camouflage.mp3.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Ying/jupe.mp3.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/AJ.Ying/jus.mp3.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/AJ.Ying/luxury .mp3.wav,luxury 
2) -ʒ- - -ʃ-/-ʒ-/AJ.Ying/sabotage.mp3.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/AJ.Ying/unusual.mp3.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/Daniel (แนน)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/Daniel (แนน)/Jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/Daniel (แนน)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/Daniel (แนน)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/Daniel (แนน)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/Daniel (แนน)/Unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/N_Aung/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/N_Aung/jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/N_Aung/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/N_Aung/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/N_Aung/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/N_Aung/unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/N_Guy (Ping)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/N_Guy (Ping)/Jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/N_Guy (Ping)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/N_Guy (Ping)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/N_Guy (Ping)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/N_Guy (Ping)/Unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/N_Maprang/camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/N_Maprang/jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/N_Maprang/jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/N_Maprang/luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/N_Maprang/sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/N_Maprang/unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/N_Stamp (Ping)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/N_Stamp (Ping)/Jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/N_Stamp (Ping)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/N_Stamp (Ping)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/N_Stamp (Ping)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/N_Stamp (Ping)/Unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/P_C/Khok Pho 5 2 2.m4a.wav,khok pho 5 2 2
2) -ʒ- - -ʃ-/-ʒ-/P_C/Khok Pho 5 2 3.m4a.wav,khok pho 5 2 3
2) -ʒ- - -ʃ-/-ʒ-/P_C/Khok Pho 5 2 4.m4a.wav,khok pho 5 2 4
2) -ʒ- - -ʃ-/-ʒ-/P_C/Khok Pho 5 2 5.m4a.wav,khok pho 5 2 5
2) -ʒ- - -ʃ-/-ʒ-/P_C/Khok Pho 5 2 6.m4a.wav,khok pho 5 2 6
2) -ʒ- - -ʃ-/-ʒ-/P_C/Khok Pho 5 2.m4a.wav,khok pho 5 2
2) -ʒ- - -ʃ-/-ʒ-/P_Meen(สมาย)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/P_Meen(สมาย)/Jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/P_Meen(สมาย)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/P_Meen(สมาย)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/P_Meen(สมาย)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/P_Meen(สมาย)/Unusual.m4a.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/camouflage.mp3.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/jupe.mp3.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/jus.mp3.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/luxury(1).mp3.wav,luxury(1)
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/luxury.mp3.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/sabotage.mp3.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/P_Numaun(smile)/unusual.mp3.wav,unusual
2) -ʒ- - -ʃ-/-ʒ-/P’Manow (Ben)/camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/P’Manow (Ben)/jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/P’Manow (Ben)/jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/P’Manow (Ben)/luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/P’Manow (Ben)/sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/P’Manow (Ben)/unusal.m4a.wav,unusal
2) -ʒ- - -ʃ-/-ʒ-/ไอริณ (กล้วย)/Camouflage.m4a.wav,camouflage
2) -ʒ- - -ʃ-/-ʒ-/ไอริณ (กล้วย)/Jupe.m4a.wav,jupe
2) -ʒ- - -ʃ-/-ʒ-/ไอริณ (กล้วย)/Jus.m4a.wav,jus
2) -ʒ- - -ʃ-/-ʒ-/ไอริณ (กล้วย)/Luxury.m4a.wav,luxury
2) -ʒ- - -ʃ-/-ʒ-/ไอริณ (กล้วย)/Sabotage.m4a.wav,sabotage
2) -ʒ- - -ʃ-/-ʒ-/ไอริณ (กล้วย)/Unusual.m4a.wav,unusual
3) -dʒ- - -tʃ-/-dʒ-/AJ.Aom(เเนน)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Aom(เเนน)/Fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/AJ.Aom(เเนน)/indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Aom(เเนน)/jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/AJ.Aom(เเนน)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Aom(เเนน)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/AJ.Nine (Ben)/charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Nine (Ben)/fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/AJ.Nine (Ben)/indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Nine (Ben)/jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/AJ.Nine (Ben)/judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Nine (Ben)/vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/AJ.Pang (โบว์)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Pang (โบว์)/Fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/AJ.Pang (โบว์)/Indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Pang (โบว์)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/AJ.Pang (โบว์)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Pang (โบว์)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/AJ.Perry (kanplu)/charge.aac.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Perry (kanplu)/fragile.aac.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/AJ.Perry (kanplu)/indulge.aac.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Perry (kanplu)/jewelry.aac.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/AJ.Perry (kanplu)/judge.aac.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Perry (kanplu)/vegetable.aac.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/AJ.Ying/charge.mp3.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Ying/fragile.mp3.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/AJ.Ying/indulge .mp3.wav,indulge 
3) -dʒ- - -tʃ-/-dʒ-/AJ.Ying/jewelry.mp3.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/AJ.Ying/judge.mp3.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Ying/vegetable.mp3.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/Daniel (เเนน)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/Daniel (เเนน)/fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/Daniel (เเนน)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/Daniel (เเนน)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/Daniel (เเนน)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/N_Aung/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/N_Aung/Fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/N_Aung/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/N_Aung/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/N_Guy (Ping)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/N_Guy (Ping)/fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/N_Guy (Ping)/Indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/N_Guy (Ping)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/N_Guy (Ping)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/N_Guy (Ping)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/N_Maprang/fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/N_Maprang/indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/N_Stamp (Ping)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/N_Stamp (Ping)/Fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/N_Stamp (Ping)/Indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/N_Stamp (Ping)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/N_Stamp (Ping)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/N_Stamp (Ping)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/P_C/Khok Pho 7 2.m4a.wav,khok pho 7 2
3) -dʒ- - -tʃ-/-dʒ-/P_C/Khok Pho 7 3.m4a.wav,khok pho 7 3
3) -dʒ- - -tʃ-/-dʒ-/P_C/Khok Pho 7 4.m4a.wav,khok pho 7 4
3) -dʒ- - -tʃ-/-dʒ-/P_C/Khok Pho 7 5.m4a.wav,khok pho 7 5
3) -dʒ- - -tʃ-/-dʒ-/P_C/Khok Pho 7 6.m4a.wav,khok pho 7 6
3) -dʒ- - -tʃ-/-dʒ-/P_C/Khok Pho 7.m4a.wav,khok pho 7
3) -dʒ- - -tʃ-/-dʒ-/P_Meen(สมาย)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/P_Meen(สมาย)/Fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/P_Meen(สมาย)/Indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/P_Meen(สมาย)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/P_Meen(สมาย)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/P_Meen(สมาย)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/P_Numaun(smile)/charge.mp3.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/P_Numaun(smile)/fragile.mp3.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/P_Numaun(smile)/indulge.mp3.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/P_Numaun(smile)/jewelry.mp3.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/P_Numaun(smile)/judge.mp3.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/P_Numaun(smile)/vegetable.mp3.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/P’Manow (Ben)/charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/P’Manow (Ben)/fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/P’Manow (Ben)/indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/P’Manow (Ben)/jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/P’Manow (Ben)/judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/P’Manow (Ben)/vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/P’Pop(เเนน)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/P’Pop(เเนน)/Fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/P’Pop(เเนน)/Indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/P’Pop(เเนน)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/P’Pop(เเนน)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/P’Pop(เเนน)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/ไอริณ (กล้วย)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/ไอริณ (กล้วย)/Fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/ไอริณ (กล้วย)/Indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/ไอริณ (กล้วย)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/ไอริณ (กล้วย)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/ไอริณ (กล้วย)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-tʃ-/AJ.Aom(เเนน)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/AJ.Aom(เเนน)/choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/AJ.Aom(เเนน)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/AJ.Aom(เเนน)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Aom(เเนน)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/AJ.Aom(เเนน)/starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Nine (Ben)/challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/AJ.Nine (Ben)/choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/AJ.Nine (Ben)/etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/AJ.Nine (Ben)/larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Nine (Ben)/purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/AJ.Nine (Ben)/starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Pang (โบว์)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/AJ.Pang (โบว์)/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/AJ.Pang (โบว์)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/AJ.Pang (โบว์)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Pang (โบว์)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/AJ.Pang (โบว์)/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Perry (kanplu)/challenge.aac.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/AJ.Perry (kanplu)/choke.aac.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/AJ.Perry (kanplu)/etching.aac.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/AJ.Perry (kanplu)/larch.aac.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Perry (kanplu)/purchase.aac.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/AJ.Perry (kanplu)/starch.aac.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Ying/challenge.mp3.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/AJ.Ying/choke.mp3.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/AJ.Ying/etching.mp3.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/AJ.Ying/larch.mp3.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/AJ.Ying/purchase.mp3.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/AJ.Ying/starch.mp3.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/Daniel (เเนน)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/Daniel (เเนน)/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/Daniel (เเนน)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/Daniel (เเนน)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/Daniel (เเนน)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/Daniel (เเนน)/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/N_Aung/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/N_Aung/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/N_Aung/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/N_Aung/purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/N_Aung/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/N_Guy (Ping)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/N_Guy (Ping)/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/N_Guy (Ping)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/N_Guy (Ping)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/N_Guy (Ping)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/N_Guy (Ping)/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/N_MP/challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/N_MP/choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/N_MP/etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/N_MP/larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/N_MP/purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/N_MP/starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/N_Stamp (Ping)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/N_Stamp (Ping)/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/N_Stamp (Ping)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/N_Stamp (Ping)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/N_Stamp (Ping)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/N_Stamp (Ping)/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/P_C/Khok Pho 8 2.m4a.wav,khok pho 8 2
3) -dʒ- - -tʃ-/-tʃ-/P_C/Khok Pho 8 3.m4a.wav,khok pho 8 3
3) -dʒ- - -tʃ-/-tʃ-/P_C/Khok Pho 8 4.m4a.wav,khok pho 8 4
3) -dʒ- - -tʃ-/-tʃ-/P_C/Khok Pho 8 5.m4a.wav,khok pho 8 5
3) -dʒ- - -tʃ-/-tʃ-/P_C/Khok Pho 8 6.m4a.wav,khok pho 8 6
3) -dʒ- - -tʃ-/-tʃ-/P_C/Khok Pho 8.m4a.wav,khok pho 8
3) -dʒ- - -tʃ-/-tʃ-/P_Meen(สมาย)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/P_Meen(สมาย)/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/P_Meen(สมาย)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/P_Meen(สมาย)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/P_Meen(สมาย)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/P_Meen(สมาย)/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/P_Numaun(smile)/challenge.mp3.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/P_Numaun(smile)/choke.mp3.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/P_Numaun(smile)/etching.mp3.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/P_Numaun(smile)/larch.mp3.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/P_Numaun(smile)/purchase.mp3.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/P_Numaun(smile)/starch.mp3.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/P’Manow (Ben)/challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/P’Manow (Ben)/choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/P’Manow (Ben)/etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/P’Manow (Ben)/larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/P’Manow (Ben)/purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/P’Manow (Ben)/starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/P’Pop(เเนน)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/P’Pop(เเนน)/Choke.m4a.wav,choke
3) -dʒ- - -tʃ-/-tʃ-/P’Pop(เเนน)/Etching.m4a.wav,etching
3) -dʒ- - -tʃ-/-tʃ-/P’Pop(เเนน)/Larch.m4a.wav,larch
3) -dʒ- - -tʃ-/-tʃ-/P’Pop(เเนน)/Purchase.m4a.wav,purchase
3) -dʒ- - -tʃ-/-tʃ-/P’Pop(เเนน)/Starch.m4a.wav,starch
3) -dʒ- - -tʃ-/-tʃ-/ไอริณ (กล้วย)/Challenge.m4a.wav,challenge
3) -dʒ- - -tʃ-/-tʃ-/ไอริณ (กล้วย)/Choke.m4a.wav,choke
